,School Name,Locality,City,Phone Number,Details
0,Aanchal International School - AIS, Sector 41-D ,"Chandigarh - 160036, Chandigarh, India","  9814448494
                          ","['Play - Class X', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1990']"
1,Adarsh Public School - APS," Sector 20-B, Near Jama Masjid ","Chandigarh - 160020, Chandigarh, India", (0172)-2725663,"['Play - Class V', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1963']"
2,Air Force School 12 Wing," Air Force Station, 12 Wing ","Chandigarh - 160003, Chandigarh, India"," (0172)-2652110, 2630923 (Secondary Wing)
                          ","['Class I - Class IX', 'CBSE Board', 'Government School (Air Force)', 'Co-Educational School']"
3,Air Force School 3BRD," Sector 31-D, 3BRD ","Chandigarh - 160003, Chandigarh, India", (0172)-2641188,"['Class V - Class X', 'CBSE Board', 'Government School (Air Force)', 'Co-Educational School', 'Established in 1979']"
4,Ajit Karam Singh International Public School - AKSIPS Chandigarh, Sector 41-A ,"Chandigarh - 160036, Chandigarh, India"," (0172)-2626541, 5005541
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
5,Ananda Marga Primary School," 334, Phase 2, Industrial Area ","Chandigarh - 160002, Chandigarh, India"," (0172)-2640851
                          ","['Primary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
6,Andale Public School, Sector 21 ,"Chandigarh - 160022, Chandigarh, India"," (0712)-2703902
                          ","['CBSE Board', 'Private School', 'Co-Educational School']"
7,Ankur School," Panjab University Campus, Sector 14 ","Chandigarh - 160014, Chandigarh, India"," (0172)-2545792
                          ","['Play - Class X', 'Private School', 'Co-Educational School', 'Established in 1976']"
8,Anthony Christian High School," #5138, Sector 38 West ","Chandigarh - 160014, Chandigarh, India"," (0172)-2643503
                          ","['Class V - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
9,Ashiana Public School, Sector 9-D ,"Chandigarh, Chandigarh, India", (0172)-2633772,"['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
10,Bachpan A Play School," Near Capital Bakery, Main Bazar, Nayagaon ","Chandigarh - 160103, Chandigarh, India","  9815315272, 9876235303
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
11,Bal Niketan Model Senior Secondary School," Sector 37-A, Opposite Water Works Office ","Chandigarh - 160036, Chandigarh, India"," (0172)-2697332
                          ","['Play - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
12,Banyan Tree School, Sector 48-B ,"Chandigarh - 160047, Chandigarh, India"," (0172)-4602452, 4602453
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1986']"
13,Bharatiya Vidya Bhavan," Jaisukhlal Hathi Sadan, Sector 27-B ","Chandigarh - 160019, Chandigarh, India"," (0172)-2656955, 5041630, 5041620","['Class V - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
14,Carmel Convent School, Sector 9-B ,"Chandigarh - 160009, Chandigarh, India"," (0172)-2740891
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
15,Chandigarh Baptist School, Sector 45-D ,"Chandigarh - 160047, Chandigarh, India"," (0172)-2602234, 2645646","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
16,Chitkara International School - CIS, Sector 25 (West) ,"Chandigarh - 160014, Chandigarh, India","  8288099489, 8288099490
                          ","['Kindergarten - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
17,CL Aggarwal DAV Model School, Sector 7-B ,"Chandigarh - 160019, Chandigarh, India"," (0172)-2790092
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
18,CRB Public School, Sector 7-B ,"Chandigarh - 160007, Chandigarh, India", (0172)-2795875,"['Class V - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
19,DAV Model School, Sector 15-A ,"Chandigarh - 160015, Chandigarh, India", (0172)-2543956,"['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1966']"
20,DAV Public School, Sector 8-C ,"Chandigarh - 160009, Chandigarh, India", (0172)-2548269,"['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1977']"
21,DAV Senior Secondary School, Sector 18-D ,"Chandigarh - 160018, Chandigarh, India"," (0172)-2544356
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
22,Dayanand Model School," Main Road, Sector 7-C ","Chandigarh - 160019, Chandigarh, India"," (0172)-2791286
                          ","['Class V - Class X', 'PSEB - Punjab School Education Board', 'Private School', 'Co-Educational School']"
